NODE,PARENT,NODE_TYPE,FORMULA,NODE_ID,PARENT_ID,CHILD_INDEX,PARENT_INDEX,INDEX_NUM,PARENT_INDEX_NUM,FULL_SQL
BLENDED_CAPITAL_RATE_FINANCE,ECONOMIC_CAPITAL_DLRS_PER_ORIG,raw,,1.2.3.2.2,1.2.3.2,index16,index11,16,11,
OS_DLRS_PER_ACTV,OS_DLRS_PER_ORIG,raw,,1.2.3.2.1.2,1.2.3.2.1,index26,index15,26,15,
ACTIVE_ACCOUNTS_PCT_PER_ORIG,OS_DLRS_PER_ORIG,raw,,1.2.3.2.1.1,1.2.3.2.1,index25,index15,25,15,
OS_DLRS_PER_ORIG,ECONOMIC_CAPITAL_DLRS_PER_ORIG,calculated,OS_DLRS_per_ACTV * Active_Accounts_PCT_per_ORIG,1.2.3.2.1,1.2.3.2,index15,index11,15,11,"select *, OS_DLRS_per_ACTV * Active_Accounts_PCT_per_ORIG as OS_DLRS_PER_ORIG from data"
ECONOMIC_CAPITAL_DLRS_PER_ORIG,CHANGE_IN_EC_DLRS_PER_ORIG,calculated,Blended_Capital_Rate_Finance * OS_DLRS_per_ORIG,1.2.3.2,1.2.3,index11,index6,11,6,"select *, Blended_Capital_Rate_Finance * OS_DLRS_per_ORIG as ECONOMIC_CAPITAL_DLRS_PER_ORIG from data"
L_ECONOMIC_CAPITAL_DLRS_PER_ORIG,CHANGE_IN_EC_DLRS_PER_ORIG,raw,,1.2.3.1,1.2.3,index10,index6,10,6,
CHANGE_IN_EC_DLRS_PER_ORIG,DISCOUNTED_EC_DLRS_PER_ORIG,calculated,L_Economic_Capital_DLRS_per_ORIG - Economic_Capital_DLRS_per_ORIG,1.2.3,1.2,index6,index3,6,3,"select *, L_Economic_Capital_DLRS_per_ORIG - Economic_Capital_DLRS_per_ORIG as CHANGE_IN_EC_DLRS_PER_ORIG from data"
COST_OF_EQUITY,DISCOUNTED_EC_DLRS_PER_ORIG,raw,,1.2.2,1.2,index5,index3,5,3,
MOB,DISCOUNTED_EC_DLRS_PER_ORIG,raw,,1.2.1,1.2,index4,index3,4,3,
DISCOUNTED_EC_DLRS_PER_ORIG,EV_DLRS_PER_ORIG,calculated,"Change_in_EC_DLRS_per_ORIG / power((1+ Cost_of_Equity / 12), MOB)",1.2,1,index3,index1,3,1,"select *, Change_in_EC_DLRS_per_ORIG / power((1+ Cost_of_Equity / 12), MOB) as DISCOUNTED_EC_DLRS_PER_ORIG from data"
ACQUISITION_COST,ACQUISITION_COST_DLRS_PER_ORIG,raw,,1.1.3.3.3.5.3,1.1.3.3.3.5,index47,index24,47,24,
INTERNAL_SALES_COST,ACQUISITION_COST_DLRS_PER_ORIG,raw,,1.1.3.3.3.5.2,1.1.3.3.3.5,index46,index24,46,24,
MOB,ACQUISITION_COST_DLRS_PER_ORIG,raw,,1.1.3.3.3.5.1,1.1.3.3.3.5,index45,index24,45,24,
ACQUISITION_COST_DLRS_PER_ORIG,TOTAL_OPEX,calculated,"CASE
WHEN MOB = 1 THEN -1 * (Internal_Sales_Cost + Acquisition_Cost)
ELSE  0 
END",1.1.3.3.3.5,1.1.3.3.3,index24,index19,24,19,"select *, CASE
WHEN MOB = 1 THEN -1 * (Internal_Sales_Cost + Acquisition_Cost)
ELSE  0 
END as ACQUISITION_COST_DLRS_PER_ORIG from data"
ACTIVE_ACCOUNTS_PCT_PER_ORIG,SALES_DLRS_PER_ORIG,raw,,1.1.3.3.3.4.2.2,1.1.3.3.3.4.2,index158,index53,158,53,
SALES_DLRS_PER_ACTV,SALES_DLRS_PER_ORIG,raw,,1.1.3.3.3.4.2.1,1.1.3.3.3.4.2,index66,index53,66,53,
SALES_DLRS_PER_ORIG,FRAUD_DLRS_PER_ORIG,calculated,Sales_DLRS_per_ACTV * Active_Accounts_PCT_per_ORIG,1.1.3.3.3.4.2,1.1.3.3.3.4,index53,index23,53,23,"select *, Sales_DLRS_per_ACTV * Active_Accounts_PCT_per_ORIG as SALES_DLRS_PER_ORIG from data"
FRAUD_RATE,FRAUD_DLRS_PER_ORIG,raw,,1.1.3.3.3.4.1,1.1.3.3.3.4,index52,index23,52,23,
FRAUD_DLRS_PER_ORIG,TOTAL_OPEX,calculated,#NAME?,1.1.3.3.3.4,1.1.3.3.3,index23,index19,23,19,"select *, -1 * Fraud_Rate * Sales_DLRS_per_ORIG as FRAUD_DLRS_PER_ORIG from data"
ACCOUNT_SETUP,ACCOUNT_SETUP_DLRS_PER_ORIG,raw,,1.1.3.3.3.3.2,1.1.3.3.3.3,index49,index22,49,22,
MOB,ACCOUNT_SETUP_DLRS_PER_ORIG,raw,,1.1.3.3.3.3.1,1.1.3.3.3.3,index48,index22,48,22,
ACCOUNT_SETUP_DLRS_PER_ORIG,TOTAL_OPEX,calculated,"CASE
WHEN MOB = 1 THEN Account_Setup
ELSE  0 
END",1.1.3.3.3.3,1.1.3.3.3,index22,index19,22,19,"select *, CASE
WHEN MOB = 1 THEN Account_Setup
ELSE  0 
END as ACCOUNT_SETUP_DLRS_PER_ORIG from data"
OPERATING_EXP_PER_ACTIVE_BLENDED,MARGINAL_OPEX_DLRS_PER_ORIG,calculated,Opex_prime * Prime_Account_Pct + Opex_middle * Middle_Account_Pct,1.1.3.3.3.2.1,1.1.3.3.3.2,index60,index21,60,21,"select *, Opex_prime * Prime_Account_Pct + Opex_middle * Middle_Account_Pct as OPERATING_EXP_PER_ACTIVE_BLENDED from data"
MARGINAL_OPEX_DLRS_PER_ORIG,TOTAL_OPEX,calculated,Active_Accounts_PCT_per_ORIG * Operating_Exp_Per_Active_Blended,1.1.3.3.3.2,1.1.3.3.3,index21,index19,21,19,"select *, Active_Accounts_PCT_per_ORIG * Operating_Exp_Per_Active_Blended as MARGINAL_OPEX_DLRS_PER_ORIG from data"
L_SECOND_EVER_PCT_PER_ACTV,REVSHARE_AEP_DLRS_PER_ORIG,raw,,1.1.3.3.3.1.11,1.1.3.3.3.1,index44,index20,44,20,
L_FIRST_EVER_PCT_PER_ACTV,REVSHARE_AEP_DLRS_PER_ORIG,raw,,1.1.3.3.3.1.10,1.1.3.3.3.1,index43,index20,43,20,
AEP_SECOND_ACTIVE_MIDDLE,REVSHARE_AEP_DLRS_PER_ORIG,raw,,1.1.3.3.3.1.9,1.1.3.3.3.1,index42,index20,42,20,
AEP_SECOND_ACTIVE_PRIME,REVSHARE_AEP_DLRS_PER_ORIG,raw,,1.1.3.3.3.1.8,1.1.3.3.3.1,index41,index20,41,20,
MIDDLE_ACCOUNT_PCT,REVSHARE_AEP_DLRS_PER_ORIG,raw,,1.1.3.3.3.1.7,1.1.3.3.3.1,index40,index20,40,20,
AEP_FIRST_ACTIVE_MIDDLE,REVSHARE_AEP_DLRS_PER_ORIG,raw,,1.1.3.3.3.1.6,1.1.3.3.3.1,index39,index20,39,20,
PRIME_ACCOUNT_PCT,REVSHARE_AEP_DLRS_PER_ORIG,raw,,1.1.3.3.3.1.5,1.1.3.3.3.1,index38,index20,38,20,
AEP_FIRST_ACTIVE_PRIME,REVSHARE_AEP_DLRS_PER_ORIG,raw,,1.1.3.3.3.1.4,1.1.3.3.3.1,index37,index20,37,20,
SECOND_EVER_PCT_PER_ACTV,REVSHARE_AEP_DLRS_PER_ORIG,raw,,1.1.3.3.3.1.3,1.1.3.3.3.1,index36,index20,36,20,
FIRST_EVER_PCT_PER_ACTV,REVSHARE_AEP_DLRS_PER_ORIG,raw,,1.1.3.3.3.1.2,1.1.3.3.3.1,index35,index20,35,20,
MOB,REVSHARE_AEP_DLRS_PER_ORIG,raw,,1.1.3.3.3.1.1,1.1.3.3.3.1,index34,index20,34,20,
REVSHARE_AEP_DLRS_PER_ORIG,TOTAL_OPEX,calculated,"CASE
WHEN MOB = 1 THEN First_Ever_PCT_per_ACTV * (AEP_First_Active_Prime) * Prime_Account_Pct + First_Ever_PCT_per_ACTV * (AEP_First_Active_Middle) * Middle_Account_Pct + Second_Ever_PCT_per_ACTV * AEP_Second_Active_Prime * Prime_Account_Pct + Second_Ever_PCT_per_ACTV * AEP_Second_Active_Middle * Middle_Account_Pct
ELSE
(First_Ever_PCT_per_ACTV - L_First_Ever_PCT_per_ACTV) * (AEP_First_Active_Prime) * Prime_Account_Pct + (First_Ever_PCT_per_ACTV - L_First_Ever_PCT_per_ACTV) * (AEP_First_Active_Middle) * Middle_Account_Pct + (Second_Ever_PCT_per_ACTV - L_Second_Ever_PCT_per_ACTV) * AEP_Second_Active_Prime * Prime_Account_Pct + (Second_Ever_PCT_per_ACTV - L_Second_Ever_PCT_per_ACTV) *  AEP_Second_Active_Middle * Middle_Account_Pct
END",1.1.3.3.3.1,1.1.3.3.3,index20,index19,20,19,"select *, CASE
WHEN MOB = 1 THEN First_Ever_PCT_per_ACTV * (AEP_First_Active_Prime) * Prime_Account_Pct + First_Ever_PCT_per_ACTV * (AEP_First_Active_Middle) * Middle_Account_Pct + Second_Ever_PCT_per_ACTV * AEP_Second_Active_Prime * Prime_Account_Pct + Second_Ever_PCT_per_ACTV * AEP_Second_Active_Middle * Middle_Account_Pct
ELSE
(First_Ever_PCT_per_ACTV - L_First_Ever_PCT_per_ACTV) * (AEP_First_Active_Prime) * Prime_Account_Pct + (First_Ever_PCT_per_ACTV - L_First_Ever_PCT_per_ACTV) * (AEP_First_Active_Middle) * Middle_Account_Pct + (Second_Ever_PCT_per_ACTV - L_Second_Ever_PCT_per_ACTV) * AEP_Second_Active_Prime * Prime_Account_Pct + (Second_Ever_PCT_per_ACTV - L_Second_Ever_PCT_per_ACTV) *  AEP_Second_Active_Middle * Middle_Account_Pct
END as REVSHARE_AEP_DLRS_PER_ORIG from data"
TOTAL_OPEX,PBT_DLRS_PER_ORIG,calculated,RevShare_AEP_DLRS_per_ORIG + Marginal_Opex_DLRS_per_ORIG + Account_Setup_DLRS_per_ORIG + Fraud_DLRS_per_ORIG + Acquisition_Cost_DLRS_per_ORIG,1.1.3.3.3,1.1.3.3,index19,index14,19,14,"select *, RevShare_AEP_DLRS_per_ORIG + Marginal_Opex_DLRS_per_ORIG + Account_Setup_DLRS_per_ORIG + Fraud_DLRS_per_ORIG + Acquisition_Cost_DLRS_per_ORIG as TOTAL_OPEX from data"
L_LLR,CHANGE_IN_LLR_DLRS_PER_ORIG,raw,,1.1.3.3.2.2.3,1.1.3.3.2.2,index33,index30,33,30,
LLR,CHANGE_IN_LLR_DLRS_PER_ORIG,raw,,1.1.3.3.2.2.2,1.1.3.3.2.2,index32,index30,32,30,
MOB,CHANGE_IN_LLR_DLRS_PER_ORIG,raw,,1.1.3.3.2.2.1,1.1.3.3.2.2,index31,index30,31,30,
CHANGE_IN_LLR_DLRS_PER_ORIG,TOTAL_RISK,calculated,"CASE
WHEN MOB == 1 THEN LLR
ELSE
LLR - L_LLR
END",1.1.3.3.2.2,1.1.3.3.2,index30,index18,30,18,"select *, CASE
WHEN MOB == 1 THEN LLR
ELSE
LLR - L_LLR
END as CHANGE_IN_LLR_DLRS_PER_ORIG from data"
MOB,WRITE_OFF,raw,,1.1.3.3.2.1.1,1.1.3.3.2.1,index59,index29,59,29,
WRITE_OFF,TOTAL_RISK,raw,,1.1.3.3.2.1,1.1.3.3.2,index29,index18,29,18,
TOTAL_RISK,PBT_DLRS_PER_ORIG,calculated,Write_off + Change_in_LLR_DLRS_per_ORIG,1.1.3.3.2,1.1.3.3,index18,index14,18,14,"select *, Write_off + Change_in_LLR_DLRS_per_ORIG as TOTAL_RISK from data"
REVERSED_ANNUAL_FEES_DLRS_PER_AC,NET_ANNUAL_FEES_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.5.6.3,1.1.3.3.1.2.5.6,index119,index73,119,73,
GROSS_ANNUAL_FEES_DLRS_PER_ACTV,NET_ANNUAL_FEES_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.5.6.2,1.1.3.3.1.2.5.6,index118,index73,118,73,
ACTIVE_ACCOUNTS_PCT_PER_ORIG,NET_ANNUAL_FEES_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.5.6.1,1.1.3.3.1.2.5.6,index117,index73,117,73,
NET_ANNUAL_FEES_DLRS_PER_ORIG,FEE_INCOME,calculated,(Gross_Annual_Fees_DLRS_per_ACTV+ Reversed_Annual_Fees_DLRS_per_AC)*Active_Accounts_PCT_per_ORIG,1.1.3.3.1.2.5.6,1.1.3.3.1.2.5,index73,index58,73,58,"select *, (Gross_Annual_Fees_DLRS_per_ACTV+ Reversed_Annual_Fees_DLRS_per_AC)*Active_Accounts_PCT_per_ORIG as NET_ANNUAL_FEES_DLRS_PER_ORIG from data"
OTHER_FEES_DLRS_PER_ACTV,OTHER_FEES_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.5.5.2,1.1.3.3.1.2.5.5,index98,index72,98,72,
ACTIVE_ACCOUNTS_PCT_PER_ORIG,OTHER_FEES_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.5.5.1,1.1.3.3.1.2.5.5,index97,index72,97,72,
OTHER_FEES_DLRS_PER_ORIG,FEE_INCOME,calculated,Other_Fees_DLRS_per_ACTV * Active_Accounts_PCT_per_ORIG,1.1.3.3.1.2.5.5,1.1.3.3.1.2.5,index72,index58,72,58,"select *, Other_Fees_DLRS_per_ACTV * Active_Accounts_PCT_per_ORIG as OTHER_FEES_DLRS_PER_ORIG from data"
CA_FEE_DLRS_PER_ACTV,CASH_FEES_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.5.4.4,1.1.3.3.1.2.5.4,index128,index71,128,71,
ACTIVE_ACCOUNTS_PCT_PER_ORIG,CASH_FEES_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.5.4.3,1.1.3.3.1.2.5.4,index127,index71,127,71,
CA_FEE_DLRS_PER_ACTV,CASH_FEES_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.5.4.2,1.1.3.3.1.2.5.4,index126,index71,126,71,
ACTIVE_ACCOUNTS_PCT_PER_ORIG,CASH_FEES_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.5.4.1,1.1.3.3.1.2.5.4,index125,index71,125,71,
CASH_FEES_DLRS_PER_ORIG,FEE_INCOME,calculated,Active_Accounts_PCT_per_ORIG * Ca_Fee_DLRS_per_ACTV,1.1.3.3.1.2.5.4,1.1.3.3.1.2.5,index71,index58,71,58,"select *, Active_Accounts_PCT_per_ORIG * Ca_Fee_DLRS_per_ACTV as CASH_FEES_DLRS_PER_ORIG from data"
FC_FEE_DLRS_PER_ACTV,FOREIGN_CURRENCY_FEE,raw,,1.1.3.3.1.2.5.3.4,1.1.3.3.1.2.5.3,index102,index70,102,70,
ACTIVE_ACCOUNTS_PCT_PER_ORIG,FOREIGN_CURRENCY_FEE,raw,,1.1.3.3.1.2.5.3.3,1.1.3.3.1.2.5.3,index101,index70,101,70,
FC_FEE_DLRS_PER_ACTV,FOREIGN_CURRENCY_FEE,raw,,1.1.3.3.1.2.5.3.2,1.1.3.3.1.2.5.3,index100,index70,100,70,
ACTIVE_ACCOUNTS_PCT_PER_ORIG,FOREIGN_CURRENCY_FEE,raw,,1.1.3.3.1.2.5.3.1,1.1.3.3.1.2.5.3,index99,index70,99,70,
FOREIGN_CURRENCY_FEE,FEE_INCOME,calculated,Active_Accounts_PCT_per_ORIG * Fc_Fee_DLRS_per_ACTV,1.1.3.3.1.2.5.3,1.1.3.3.1.2.5,index70,index58,70,58,"select *, Active_Accounts_PCT_per_ORIG * Fc_Fee_DLRS_per_ACTV as FOREIGN_CURRENCY_FEE from data"
CHECK_FEES_DLRS_PER_ACTV,CHECK_BT_FEE_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.5.2.2,1.1.3.3.1.2.5.2,index96,index69,96,69,
ACTIVE_ACCOUNTS_PCT_PER_ORIG,CHECK_BT_FEE_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.5.2.1,1.1.3.3.1.2.5.2,index95,index69,95,69,
CHECK_BT_FEE_DLRS_PER_ORIG,FEE_INCOME,calculated,Check_Fees_DLRS_per_ACTV * Active_Accounts_PCT_per_ORIG,1.1.3.3.1.2.5.2,1.1.3.3.1.2.5,index69,index58,69,58,"select *, Check_Fees_DLRS_per_ACTV * Active_Accounts_PCT_per_ORIG as CHECK_BT_FEE_DLRS_PER_ORIG from data"
LATE_FEES,LATE_FEES_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.5.1.3,1.1.3.3.1.2.5.1,index131,index68,131,68,
LATE_FEES_INCIDENT_PCT_PER_ACTV,LATE_FEES_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.5.1.2,1.1.3.3.1.2.5.1,index130,index68,130,68,
ACTIVE_ACCOUNTS_PCT_PER_ORIG,LATE_FEES_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.5.1.1,1.1.3.3.1.2.5.1,index129,index68,129,68,
LATE_FEES_DLRS_PER_ORIG,FEE_INCOME,calculated,Late_Fees_Incident_PCT_per_ACTV * Active_Accounts_PCT_per_ORIG * Late_Fees,1.1.3.3.1.2.5.1,1.1.3.3.1.2.5,index68,index58,68,58,"select *, Late_Fees_Incident_PCT_per_ACTV * Active_Accounts_PCT_per_ORIG * Late_Fees as LATE_FEES_DLRS_PER_ORIG from data"
FEE_INCOME,NET_NON_INTEREST_INCOME,calculated,Late_Fees_DLRS_per_ORIG + Check_BT_Fee_DLRS_per_ORIG + Foreign_Currency_Fee + Cash_Fees_DLRS_per_ORIG + Other_Fees_DLRS_per_ORIG + Net_Annual_Fees_DLRS_per_ORIG,1.1.3.3.1.2.5,1.1.3.3.1.2,index58,index28,58,28,"select *, Late_Fees_DLRS_per_ORIG + Check_BT_Fee_DLRS_per_ORIG + Foreign_Currency_Fee + Cash_Fees_DLRS_per_ORIG + Other_Fees_DLRS_per_ORIG + Net_Annual_Fees_DLRS_per_ORIG as FEE_INCOME from data"
L_FIRST_EVER_PCT_PER_ACTV,BONUS_REVENUE_SHARING,raw,,1.1.3.3.1.2.4.6,1.1.3.3.1.2.4,index81,index57,81,57,
BT_BONUS_POINT_COST,BONUS_REVENUE_SHARING,raw,,1.1.3.3.1.2.4.5,1.1.3.3.1.2.4,index80,index57,80,57,
BONUS_POINT_COST,BONUS_REVENUE_SHARING,raw,,1.1.3.3.1.2.4.4,1.1.3.3.1.2.4,index79,index57,79,57,
SPEND_THRESHOLD_FACTOR,BONUS_REVENUE_SHARING,raw,,1.1.3.3.1.2.4.3,1.1.3.3.1.2.4,index78,index57,78,57,
BLENDED_BONUS_AMOUNT,BONUS_REVENUE_SHARING,raw,,1.1.3.3.1.2.4.2,1.1.3.3.1.2.4,index77,index57,77,57,
FIRST_EVER_PCT_PER_ACTV,BONUS_REVENUE_SHARING,raw,,1.1.3.3.1.2.4.1,1.1.3.3.1.2.4,index76,index57,76,57,
BONUS_REVENUE_SHARING,NET_NON_INTEREST_INCOME,calculated,"CASE
WHEN MOB = 1 then Blended_Bonus_Amount * Spend_Threshold_Factor * Bonus_Point_Cost * (-1) * First_Ever_PCT_per_ACTV + BT_Bonus_Point_Cost
WHEN First_Ever_PCT_per_ACTV > L_First_Ever_PCT_per_ACTV THEN Blended_Bonus_Amount * Spend_Threshold_Factor * Bonus_Point_Cost * (-1) * (First_Ever_PCT_per_ACTV - L_First_Ever_PCT_per_ACTV ) + BT_Bonus_Point_Cost
ELSE 0
END",1.1.3.3.1.2.4,1.1.3.3.1.2,index57,index28,57,28,"select *, CASE
WHEN MOB = 1 then Blended_Bonus_Amount * Spend_Threshold_Factor * Bonus_Point_Cost * (-1) * First_Ever_PCT_per_ACTV + BT_Bonus_Point_Cost
WHEN First_Ever_PCT_per_ACTV > L_First_Ever_PCT_per_ACTV THEN Blended_Bonus_Amount * Spend_Threshold_Factor * Bonus_Point_Cost * (-1) * (First_Ever_PCT_per_ACTV - L_First_Ever_PCT_per_ACTV ) + BT_Bonus_Point_Cost
ELSE 0
END as BONUS_REVENUE_SHARING from data"
DOLLARS_PER_RENEW,REVSHARE_RENEW_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.3.3.4,1.1.3.3.1.2.3.3,index116,index63,116,63,
DOLLARNEW1,REVSHARE_RENEW_DLRS_PER_ORIG,raw,"IT SEEMS TO BE BLANK FROM THE CODE, ADD A BLANK COLUMN IN THE DATA",1.1.3.3.1.2.3.3.3,1.1.3.3.1.2.3.3,index115,index63,115,63,
DOLLARS_PER_NEW,REVSHARE_RENEW_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.3.3.2,1.1.3.3.1.2.3.3,index114,index63,114,63,
MOB,REVSHARE_RENEW_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.3.3.1,1.1.3.3.1.2.3.3,index113,index63,113,63,
REVSHARE_RENEW_DLRS_PER_ORIG,SPEND_REV_SHARE_PARTNER,calculated,"CASE
WHEN MOB = 1 THEN -1 * Dollars_per_new
ELSE -1 * dollarnew1 * Dollars_per_renew
END",1.1.3.3.1.2.3.3,1.1.3.3.1.2.3,index63,index56,63,56,"select *, CASE
WHEN MOB = 1 THEN -1 * Dollars_per_new
ELSE -1 * dollarnew1 * Dollars_per_renew
END as REVSHARE_RENEW_DLRS_PER_ORIG from data"
EXCISE_TAX,EXCISE_PER_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.3.2.2,1.1.3.3.1.2.3.2,index124,index62,124,62,
ACTIVE_ACCOUNTS_PCT_PER_ORIG,SALES_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.3.2.1.2,1.1.3.3.1.2.3.2.1,index150,index123,150,123,
SALES_DLRS_PER_ACTV,SALES_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.3.2.1.1,1.1.3.3.1.2.3.2.1,index149,index123,149,123,
SALES_DLRS_PER_ORIG,EXCISE_PER_DLRS_PER_ORIG,calculated,Sales_DLRS_per_ACTV * Active_Accounts_PCT_per_ORIG,1.1.3.3.1.2.3.2.1,1.1.3.3.1.2.3.2,index123,index62,123,62,"select *, Sales_DLRS_per_ACTV * Active_Accounts_PCT_per_ORIG as SALES_DLRS_PER_ORIG from data"
EXCISE_PER_DLRS_PER_ORIG,SPEND_REV_SHARE_PARTNER,calculated,Sales_DLRS_per_ORIG * (-1) * Excise_Tax,1.1.3.3.1.2.3.2,1.1.3.3.1.2.3,index62,index56,62,56,"select *, Sales_DLRS_per_ORIG * (-1) * Excise_Tax as EXCISE_PER_DLRS_PER_ORIG from data"
REV_SHARE_OFF_NOFEE,REVSHARE_BP_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.3.1.8,1.1.3.3.1.2.3.1,index139,index61,139,61,
NO_FEE_SALES_PCT,REVSHARE_BP_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.3.1.7,1.1.3.3.1.2.3.1,index138,index61,138,61,
REV_SHARE_OFF_FEE,REVSHARE_BP_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.3.1.6,1.1.3.3.1.2.3.1,index137,index61,137,61,
REV_SHARE_ON_NOFEE,REVSHARE_BP_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.3.1.5,1.1.3.3.1.2.3.1,index136,index61,136,61,
FEE_SALES_PCT,REVSHARE_BP_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.3.1.4,1.1.3.3.1.2.3.1,index135,index61,135,61,
REV_SHARE_ON_FEE,REVSHARE_BP_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.3.1.3,1.1.3.3.1.2.3.1,index134,index61,134,61,
ON_SPEND_PCT_PER_ORIG,REVSHARE_BP_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.3.1.2,1.1.3.3.1.2.3.1,index133,index61,133,61,
ACTIVE_ACCOUNTS_PCT_PER_ORIG,SALES_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.3.1.1.2,1.1.3.3.1.2.3.1.1,index148,index132,148,132,
SALES_DLRS_PER_ACTV,SALES_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.3.1.1.1,1.1.3.3.1.2.3.1.1,index147,index132,147,132,
SALES_DLRS_PER_ORIG,REVSHARE_BP_DLRS_PER_ORIG,calculated,Sales_DLRS_per_ACTV * Active_Accounts_PCT_per_ORIG,1.1.3.3.1.2.3.1.1,1.1.3.3.1.2.3.1,index132,index61,132,61,"select *, Sales_DLRS_per_ACTV * Active_Accounts_PCT_per_ORIG as SALES_DLRS_PER_ORIG from data"
REVSHARE_BP_DLRS_PER_ORIG,SPEND_REV_SHARE_PARTNER,calculated,"(Sales_DLRS_per_ORIG * On_Spend_PCT_per_ORIG * rev_share_on_fee * Fee_Sales_Pct +
Sales_DLRS_per_ORIG * On_Spend_PCT_per_ORIG * rev_share_on_nofee * No_Fee_Sales_Pct +
Sales_DLRS_per_ORIG * (1-On_Spend_PCT_per_ORIG) * rev_share_off_fee * Fee_Sales_Pct +
Sales_DLRS_per_ORIG * (1- On_Spend_PCT_per_ORIG) * rev_share_off_nofee * No_Fee_Sales_Pct) * (-1)",1.1.3.3.1.2.3.1,1.1.3.3.1.2.3,index61,index56,61,56,"select *, (Sales_DLRS_per_ORIG * On_Spend_PCT_per_ORIG * rev_share_on_fee * Fee_Sales_Pct +
Sales_DLRS_per_ORIG * On_Spend_PCT_per_ORIG * rev_share_on_nofee * No_Fee_Sales_Pct +
Sales_DLRS_per_ORIG * (1-On_Spend_PCT_per_ORIG) * rev_share_off_fee * Fee_Sales_Pct +
Sales_DLRS_per_ORIG * (1- On_Spend_PCT_per_ORIG) * rev_share_off_nofee * No_Fee_Sales_Pct) * (-1) as REVSHARE_BP_DLRS_PER_ORIG from data"
SPEND_REV_SHARE_PARTNER,NET_NON_INTEREST_INCOME,calculated,RevShare_BP_DLRS_per_ORIG + Excise_per_DLRS_per_ORIG + RevShare_Renew_DLRS_per_ORIG,1.1.3.3.1.2.3,1.1.3.3.1.2,index56,index28,56,28,"select *, RevShare_BP_DLRS_per_ORIG + Excise_per_DLRS_per_ORIG + RevShare_Renew_DLRS_per_ORIG as SPEND_REV_SHARE_PARTNER from data"
COST_PER_POINT,REWARDS_EXPENSE_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.2.2,1.1.3.3.1.2.2,index75,index55,75,55,
ACTIVE_ACCOUNTS_PCT_PER_ORIG,SALES_DLRS_PER_ORIG,raw,,1.1.3.3.1.2.2.1.2,1.1.3.3.1.2.2.1,index106,index74,106,74,
